movie_id,title,imdbId,tmdbId,genres
0,American Beauty (1999),169547,14.0,Drama|Romance
1,Austin Powers: The Spy Who Shagged Me (1999),145660,817.0,Action|Adventure|Comedy
2,"Mexican, The (2001)",236493,6073.0,Action|Comedy
3,X-Men: The Last Stand (2006),376994,36668.0,Action|Sci-Fi|Thriller
4,Pirates of the Caribbean: Dead Man's Chest (2006),383574,58.0,Action|Adventure|Fantasy
5,Meet the Fockers (2004),290002,693.0,Comedy
6,Finding Nemo (2003),266543,12.0,Adventure|Animation|Children|Comedy
7,"Me, Myself & Irene (2000)",183505,2123.0,Adventure|Comedy
8,Pleasantville (1998),120789,2657.0,Comedy|Drama|Fantasy
9,Election (1999),126886,9451.0,Comedy
10,Erin Brockovich (2000),195685,462.0,Drama
11,In Bruges (2008),780536,8321.0,Comedy|Crime|Drama|Thriller
12,"Wind That Shakes the Barley, The (2006)",460989,1116.0,Drama|War
13,Gladiator (2000),172495,98.0,Action|Adventure|Drama
14,Godzilla (1998),120685,929.0,Action|Sci-Fi|Thriller
15,"Dark Knight Rises, The (2012)",1345836,49026.0,Action|Adventure|Crime|IMAX
16,"Love Song for Bobby Long, A (2004)",369672,9953.0,Drama
17,Lonely Hearts (2006),441774,1252.0,Crime|Drama|Thriller
18,Planet of the Apes (2001),133152,869.0,Action|Adventure|Drama|Sci-Fi
19,I Love You Phillip Morris (2009),1045772,8952.0,Comedy|Drama|Romance
20,Minority Report (2002),181689,180.0,Action|Crime|Mystery|Sci-Fi|Thriller
21,Moulin Rouge (2001),203009,824.0,Drama|Musical|Romance
22,Taken 2 (2012),1397280,82675.0,Action|Crime|Drama|Thriller
23,Eyes Wide Shut (1999),120663,345.0,Drama|Mystery|Thriller
24,High Fidelity (2000),146882,243.0,Comedy|Drama|Romance
25,"Fountain, The (2006)",414993,1381.0,Drama|Fantasy|Romance
26,Brokeback Mountain (2005),388795,142.0,Drama|Romance
27,Pearl Harbor (2001),213149,676.0,Action|Drama|Romance|War
28,Captain America: Civil War (2016),3498820,271110.0,Action|Sci-Fi|Thriller
29,Shaft (2000),162650,479.0,Action|Crime|Thriller
30,Austin Powers in Goldmember (2002),295178,818.0,Comedy
31,Mysterious Skin (2004),370986,11171.0,Drama|Mystery
32,Snatch (2000),208092,107.0,Comedy|Crime|Thriller
33,Sweeney Todd: The Demon Barber of Fleet Street (2007),408236,13885.0,Drama|Horror|Musical|Thriller
34,Kiss Kiss Bang Bang (2005),373469,5236.0,Comedy|Crime|Mystery|Thriller
35,"Man Who Wasn't There, The (2001)",243133,10778.0,Crime|Drama
36,Pacific Rim (2013),1663662,68726.0,Action|Adventure|Sci-Fi|IMAX
37,Sherlock Holmes (2009),988045,10528.0,Action|Crime|Mystery|Thriller
38,WALL·E (2008),910970,10681.0,Adventure|Animation|Children|Romance|Sci-Fi
39,"Hobbit: An Unexpected Journey, The (2012)",903624,49051.0,Adventure|Fantasy|IMAX
40,27 Dresses (2008),988595,6557.0,Comedy|Romance
41,"Rules of Attraction, The (2002)",292644,1809.0,Comedy|Drama|Romance|Thriller
42,Grown Ups (2010),1375670,38365.0,Comedy
43,Shrek (2001),126029,808.0,Adventure|Animation|Children|Comedy|Fantasy|Romance
44,"Mighty Wind, A (2003)",310281,13370.0,Comedy|Musical
45,The Imitation Game (2014),2084970,205596.0,Drama|Thriller|War
46,Feast (2014),3689498,293299.0,Animation|Children|Comedy|Drama|Romance
47,Wrong Turn at Tahoe (2009),1393000,25594.0,Action|Crime|Thriller
48,Shaun of the Dead (2004),365748,747.0,Comedy|Horror
49,Billy Elliot (2000),249462,71.0,Drama
50,Vanilla Sky (2001),259711,1903.0,Mystery|Romance|Sci-Fi|Thriller
